Name,Price,Qty,Total Price,Link,Notes,,,,,,
500w Spindle Bundle,150,1,150,https://www.amazon.com/RATTMMOTOR-Brushless-12000RPM-Controller-Switching/dp/B09X2Y63XQ?crid=2MT3HOCCD0NSX&dib=eyJ2IjoiMSJ9.80MCbpRdxsYOBfUvA_meG8VHBi0JquH97wu-jC5K8_ogH_gkXgNYHmGB2bncSsyP4bQnw6kUzqqU0_PvE67Pm0WWaXo7h4dj7NtvsBt0NSBjczQKVDzIiZbfmKWIxfq3ONYzUre0ku93fH1xAsabwAH8-jSpqdms9tV1pUKKZopbA1tebcLfDPcSOtR3yqMsk-SwGOP8pRTKMPNkkthpftw75b73i4Xlg3BE0DTDFbcHE6xBJ-lJQzKHaONoo6HVYMJodZLrphZztd7nQY7GTu8YAq3rorF4lq_mSopUnsY.fA4QvYYcb7873B5WuwASA9O1xYc2dv0ohqru6kd39L4&dib_tag=se&keywords=500w+spindle+with+driver&qid=1780259275&sprefix=500w+spindle+with+driver%2Caps%2C161&sr=8-4,"includes spindle, mounting block, psu, and driver",,,,,total ,296.03
CNC Shield V3 Bundle,9.94,1,9.94,https://www.aliexpress.us/item/3256809781806268.html?src=google&gatewayAdapt=glo2usa,"includes shield, drivers, arduino. DRV8825 (purple) bundle",,,,,with tax,320.748505
Stepper wires,9.99,1,9.99,https://www.amazon.com/Iverntech-XH2-54-Terminal-Stepper-Printer/dp/B07PXVPYFB?dib=eyJ2IjoiMSJ9.U9E5IM5QuqumBVItkBmUSeXaM7YWWRImcaIYpGc3Y_c_AIyy2214LY0Z6nGhjp5WrPgnxwbg536QfjNJjRcWdzMm0aL3IOPNHiTEF15I4nuJBiFkOnBXIfYugVp0ZJAKidvgFAJnQPpg9ognhIQd71tvj_jgoo7fyOaQRuLMBZ4VDXqtCzDnadVame9dwGHm48RVIg_gx1QZmf7WlxtpqU_ROywx1cl08r4JP-jLvlY.GVjkIZ9-mKkUoiixkZjgimfG6jqWQTMfHHN5EKmIg4Y&dib_tag=se&keywords=nema%2B17%2Bcable&qid=1788878602&sr=8-4&th=1, 1.5m,,,,,,
Buck Converter,5.99,1,5.99,https://www.amazon.com/AOICRIE-Converter-Adjustable-Step-Down-Stabilizer/dp/B0F2SDZ28Q?dib=eyJ2IjoiMSJ9.VQ26J6Hwlnf4srC1Pq_st5do641dEZosCAP1tFJm9ghLJfMb62gPKOk_0XpDfNlaOwOy8eCw_AuxXteoytxI6Ulkp2Rp0UAHCoXPSlPTfpFCeAty4ZQNC_WbtAeEwXhFkeGbDUycMWMJC3TLMviiZ5TgxckJ4COgbg7jjn4Yw4ONNAd4kLElGQ55hlMOmjZ6t1xWHHUkg8Y3CjrwR4inXHafkghbkF-4KYVB_QBNpSI.UbDTZArxmlfjCcGowb5u9dKyuovu4E38BXBv2uIxhs0&dib_tag=se&keywords=buck+converter&qid=1788880003&sr=8-20,,,,,,,
Emergency Stop,1.09,1,1.09,https://www.aliexpress.us/item/3256805247269854.html?spm=a2g0o.detail.0.0.b4784pnV4pnVFC&mp=1&pdp_npi=6%40dis%21USD%21USD+4.82%21USD+1.09%21%21USD+1.09%21%21%21%402103128817890798035028222e10cd%2112000033057402384%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa,,,,,,,
Threaded rod assembly,9.99,1,9.99,https://www.amazon.com/ReliaBot-Z-axis-Upgrade-Voxelab-Printer/dp/B0C4TT2ZQ9?crid=2GFZ2THY8BRT1&dib=eyJ2IjoiMSJ9.4HXnGWvDhQoPm9deriPdIGWub9caPyBYwFALmiPBFGiii1j3KO8hrAuntRG56F15A5sMTxfO8fQRcxn3dteltFLVsNHRuMZL541PnOL0yq5Z6gCzgSRyNxim-OA9B2j03PJAmNRaTxLsZzT4SHzZtEUnylF6_h-_AKx6ertcNY3FvdACOVFz1N6E5hSo5T5RIW5FUjhhT5ke5QHbbhAHForHyWTfpdRGm_yaH-ujIzE.UBsKGjJGQUiYJN-0uqXnMbmT6KxZakx0fUdFk9nXwGw&dib_tag=se&keywords=threaded%2Brod%2Bender%2B3&qid=1788914284&sprefix=threaded%2Brod%2Bender%2B%2Caps%2C184&sr=8-4&th=1,can be taken off a different printer (ie an ender 3),,,,,,
V-Rollers,9.99,1,9.99,https://www.amazon.com/SIMAX3D-Printer-Creality-Artillery-Sidewinder/dp/B08B4JDB67?crid=HCUZ1D16YAYM&dib=eyJ2IjoiMSJ9.lIZZ2cRpTJQGBc-61XfX_KF4tYqeouLAUcT07cKjBJPFumB5F4CiMAEfSJtOPUy7tJNz4ocWg1eHoVbAE6sGSNkojd720QUOXtVUaEAUXJgxaKGmuJ5U5mOax1P58k24bro0TD58KmLaOgBO4ljz_mxovNFfeduKeQeJYUp8I6QRrVfmH1auGtlCLfbuamkSGxzInCSja-_WzM1aMOQeeNDnAkn0H-BFcNp7F7t-2Wk.uwVOfGVoK-yMUSkY2-7cpWTFIzQcbX0LJuejsBu30nY&dib_tag=se&keywords=v%2Broller&qid=1788914333&sprefix=v%2Broller%2Caps%2C146&sr=8-6&th=1,"need 10 pcs, can be taken off a different printer (ie an ender 3)",,,,,,
Toggle Switches,5.98,1,5.98,https://www.amazon.com/Covxyorg-Waterproof-Durable-Suitable-Automotive/dp/B0FDFYYC1X?crid=1ZDGV7CRT728R&dib=eyJ2IjoiMSJ9.emAobxEqN-73lLDg47uDVMmCrw3fU2rDdFJV-INOYF6RdpIVCAT2HCbkbkzesT7K0RHPqcU1iaNMGO9ASvHjAqjachyQkoOhZS7hwFOyLjVY28Kr0vzMSyxrYqMAjP9pOotRmSNIrq8Og4JfwmTDICR7QiUGk8aK4xqpg9zeQ70HR_SnlybGCyO5EtuHGKmepvlsC8F1G6McJLvgv4R77p7e6QvQqGySGmMEC-y9Asw.DPkEV9otp40OXfjISQsiQRW8juTZIMrVjg8b_lfhUSk&dib_tag=se&keywords=toggle%2Bswitch&qid=1788880913&sprefix=toggle%2Bswitch%2Caps%2C181&sr=8-2&th=1,,,,,,,
2x1in Aluminum Rectangular Tubing,varies,~6m,,,Any metal extrusion can be used,,,,,,
Tap Set,8.89,1,8.89,https://www.amazon.com/Mesee-Adjustable-T-Handle-Ratchet-Aluminum/dp/B09PG5C363?dib=eyJ2IjoiMSJ9.10wap36KoPx09_IWQSuko9RlNklNlmXzN1HYN3EbYLTG4aVQ2wbFyPLFAPpMnyRwEvlzzo59KVRFT6W5kj934eevaWdhBBjHZfYy-rdAEXny3-Mt8RdbDTKqQ-zayvd4plXPVpsx5r-oyOdk0OzqqXLToSoEQYa-jk-knCWw1hz5m8BlLej3tX0cVWr1PLVoPGZnQ3_D6KLud5UHAzsRWC0CZFrb5UEliMAVQ2rVTHE.zgOBUkExcWz4qWuM7WgQJo-0HKt1Y56hxeBYqDRJEbk&dib_tag=se&keywords=m5+tap&qid=1788967084&sr=8-5,,,,,,,
